Model,MDO34
Firmware Version,1.19.13

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,2e-06
Horizontal Delay,0
Sample Interval,2e-09
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Vertical Position,-5
,
,
,
Label,
TIME,CH1
-9.5360e-06,0.266
-9.5340e-06,0.266
-9.5320e-06,0.266
-9.5300e-06,0.268
-9.5280e-06,0.268
-9.5260e-06,0.268
-9.5240e-06,0.268
-9.5220e-06,0.27
-9.5200e-06,0.27
-9.5180e-06,0.268
-9.5160e-06,0.27
-9.5140e-06,0.27
-9.5120e-06,0.27
-9.5100e-06,0.27
-9.5080e-06,0.27
-9.5060e-06,0.272
-9.5040e-06,0.274
-9.5020e-06,0.272
-9.5000e-06,0.272
-9.4980e-06,0.276
-9.4960e-06,0.274
-9.4940e-06,0.276
-9.4920e-06,0.276
-9.4900e-06,0.276
-9.4880e-06,0.278
-9.4860e-06,0.276
-9.4840e-06,0.278
-9.4820e-06,0.28
-9.4800e-06,0.278
-9.4780e-06,0.28
-9.4760e-06,0.28
-9.4740e-06,0.278
-9.4720e-06,0.282
-9.4700e-06,0.28
-9.4680e-06,0.282
-9.4660e-06,0.282
-9.4640e-06,0.286
-9.4620e-06,0.284
-9.4600e-06,0.284
-9.4580e-06,0.286
-9.4560e-06,0.284
-9.4540e-06,0.286
-9.4520e-06,0.288
-9.4500e-06,0.288
-9.4480e-06,0.288
-9.4460e-06,0.292
-9.4440e-06,0.29
-9.4420e-06,0.292
-9.4400e-06,0.294
-9.4380e-06,0.294
-9.4360e-06,0.294
-9.4340e-06,0.298
-9.4320e-06,0.3
-9.4300e-06,0.298
-9.4280e-06,0.3
-9.4260e-06,0.302
-9.4240e-06,0.3
-9.4220e-06,0.302
-9.4200e-06,0.304
-9.4180e-06,0.306
-9.4160e-06,0.306
-9.4140e-06,0.308
-9.4120e-06,0.308
-9.4100e-06,0.31
-9.4080e-06,0.312
-9.4060e-06,0.314
-9.4040e-06,0.316
-9.4020e-06,0.316
-9.4000e-06,0.318
-9.3980e-06,0.316
-9.3960e-06,0.318
-9.3940e-06,0.32
-9.3920e-06,0.322
-9.3900e-06,0.322
-9.3880e-06,0.326
-9.3860e-06,0.326
-9.3840e-06,0.328
-9.3820e-06,0.328
-9.3800e-06,0.328
-9.3780e-06,0.33
-9.3760e-06,0.332
-9.3740e-06,0.334
-9.3720e-06,0.336
-9.3700e-06,0.336
-9.3680e-06,0.338
-9.3660e-06,0.34
-9.3640e-06,0.34
-9.3620e-06,0.342
-9.3600e-06,0.342
-9.3580e-06,0.342
-9.3560e-06,0.344
-9.3540e-06,0.344
-9.3520e-06,0.344
-9.3500e-06,0.346
-9.3480e-06,0.348
-9.3460e-06,0.348
-9.3440e-06,0.348
-9.3420e-06,0.348
-9.3400e-06,0.348
-9.3380e-06,0.35
-9.3360e-06,0.352
-9.3340e-06,0.354
-9.3320e-06,0.354
-9.3300e-06,0.354
-9.3280e-06,0.354
-9.3260e-06,0.354
-9.3240e-06,0.354
-9.3220e-06,0.354
-9.3200e-06,0.358
-9.3180e-06,0.356
-9.3160e-06,0.358
-9.3140e-06,0.358
-9.3120e-06,0.358
-9.3100e-06,0.36
-9.3080e-06,0.362
-9.3060e-06,0.362
-9.3040e-06,0.364
-9.3020e-06,0.364
-9.3000e-06,0.364
-9.2980e-06,0.364
-9.2960e-06,0.364
-9.2940e-06,0.366
-9.2920e-06,0.366
-9.2900e-06,0.368
-9.2880e-06,0.368
-9.2860e-06,0.368
-9.2840e-06,0.37
-9.2820e-06,0.372
-9.2800e-06,0.37
-9.2780e-06,0.372
-9.2760e-06,0.372
-9.2740e-06,0.372
-9.2720e-06,0.372
-9.2700e-06,0.372
-9.2680e-06,0.374
-9.2660e-06,0.374
-9.2640e-06,0.376
-9.2620e-06,0.376
-9.2600e-06,0.376
-9.2580e-06,0.378
-9.2560e-06,0.38
-9.2540e-06,0.38
-9.2520e-06,0.38
-9.2500e-06,0.38
-9.2480e-06,0.382
-9.2460e-06,0.382
-9.2440e-06,0.382
-9.2420e-06,0.384
-9.2400e-06,0.384
-9.2380e-06,0.384
-9.2360e-06,0.384
-9.2340e-06,0.384
-9.2320e-06,0.386
-9.2300e-06,0.386
-9.2280e-06,0.384
-9.2260e-06,0.384
-9.2240e-06,0.384
-9.2220e-06,0.386
-9.2200e-06,0.386
-9.2180e-06,0.382
-9.2160e-06,0.384
-9.2140e-06,0.384
-9.2120e-06,0.384
-9.2100e-06,0.384
-9.2080e-06,0.382
-9.2060e-06,0.384
