frequency_hz,input_vpp,target_peak_mV,target_rms_mV,measurement_noise_rms_mV,white_noise_rms_mV,one_over_f_rms_mV,line_noise_rms_mV,near_frequency_rms_mV,reference_noise_rms_mV,reference_white_rms_mV,common_phase_noise_rms_rad,reference_jitter_rms_rad,reference_amp_ripple_rms,reference_dip_max,input_snr_db,noise_switches_all_on
1000.0,0.1,5.0,3.5355320108739905,2.4529353502906672,1.5446753799852513,0.29999999999999993,0.9721111047611789,0.9055473495890172,26.48352135424798,19.383151671279794,0.05,0.025,0.07347149368125293,0.3,3.175373433088727,True
1000.0,1.0,50.0,35.35530089099593,2.4737431987682728,1.5463723298239451,0.3,0.9721111047611789,0.9055473495890172,26.342642563632015,19.26453973908548,0.05,0.025,0.07347149368125293,0.3,23.10199848949644,True
1000.0,3.0,150.0,106.0659487064118,2.441253465308961,1.548937612399519,0.3,0.9721111047611789,0.9055473495890172,26.48151462574807,19.40045617455668,0.049999999999999996,0.025,0.07347149368125293,0.3,32.759262161874254,True
1000.0,5.0,250.0,176.776678069782,2.43417110652111,1.5490881748678145,0.3,0.9721111047611789,0.9055473495890172,26.3648924204032,19.28039169280682,0.04999999999999999,0.025,0.07347149368125293,0.3,37.22147730902981,True
1000.0,10.0,500.0,353.5530354976743,2.4663919363829,1.5495704546155817,0.3,0.9721111047611789,0.9055473495890172,26.433329576103933,19.35725291895465,0.05,0.025,0.07347149368125293,0.3,43.127849569514055,True
2000.0,0.1,5.0,3.535534515838655,2.944722547636358,2.182837511487219,0.3,0.9721111047611789,0.9055429288897987,32.843719799483495,27.474875094904,0.05000000000000002,0.024999999999999998,0.0734715278779209,0.3,1.5882139937536408,True
2000.0,1.0,50.0,35.35532122463032,2.89353304814053,2.1912498961927285,0.3,0.9721111047611789,0.9055429288897987,32.78734762639627,27.41016002014573,0.049999999999999996,0.025,0.0734715278779209,0.3,21.740526809152875,True
2000.0,3.0,150.0,106.06601348118392,2.943524776344548,2.1946239700872288,0.29999999999999993,0.9721111047611789,0.9055429288897987,32.75758872803297,27.380389365868833,0.05,0.025,0.0734715278779209,0.3,31.134171007278184,True
2000.0,5.0,250.0,176.77676234092962,2.9043874398293856,2.1920798801392545,0.3,0.9721111047611789,0.9055429288897987,32.77246405322396,27.341641137638067,0.05000000000000002,0.025,0.0734715278779209,0.3,35.687412511794385,True
2000.0,10.0,500.0,353.5536707985516,2.901708203857445,2.1924766806497056,0.30000000000000004,0.9721111047611789,0.9055429288897987,32.819185790440756,27.359839771620443,0.05000000000000001,0.025,0.0734715278779209,0.3,41.7160322622022,True
5000.0,0.1,5.0,3.535533726604179,3.9870678998592863,3.4659924324359825,0.3,0.9721111047611789,0.9055402791692772,46.89328798873273,43.29449591819561,0.05000000000000001,0.025,0.0734715483961002,0.3,-1.043972945893679,True
5000.0,1.0,50.0,35.35533962427222,3.9800696172656744,3.471727628297007,0.3,0.9721111047611789,0.9055402791692772,46.91355384698162,43.33577325581995,0.05000000000000002,0.025000000000000005,0.0734715483961002,0.3,18.97128689709807,True
5000.0,3.0,150.0,106.0660269324784,3.9499947292591444,3.460114930901082,0.3,0.9721111047611789,0.9055402791692772,46.95191986345492,43.345628264001206,0.05,0.025,0.0734715483961002,0.3,28.57959570090636,True
5000.0,5.0,250.0,176.77664110356233,3.943220958582471,3.4590075537428584,0.3,0.9721111047611789,0.9055402791692772,46.944972987758284,43.32267437805032,0.05,0.024999999999999994,0.0734715483961002,0.3,33.031475284674784,True
5000.0,10.0,500.0,353.5534647451366,3.9558707447357344,3.4632100047671472,0.3000000000000001,0.9721111047611789,0.9055402791692772,46.972303898113196,43.36401671132834,0.049999999999999996,0.02499999999999999,0.0734715483961002,0.3,39.02426009392891,True
10000.0,0.1,5.0,3.535534062967201,5.259876262096178,4.89472257531749,0.30000000000000004,0.9721111047611788,0.9055393963790228,63.75909117980663,61.13119442032087,0.05,0.024999999999999994,0.07347155523552307,0.3,-3.45041003518256,True
10000.0,1.0,50.0,35.355336212111126,5.23713650042537,4.891528998268946,0.3,0.9721111047611788,0.9055393963790228,63.78577188777094,61.2161342909083,0.04999999999999999,0.024999999999999998,0.07347155523552307,0.3,16.58722156108396,True
10000.0,3.0,150.0,106.06601882459508,5.26501771775657,4.905455938459107,0.3,0.9721111047611788,0.9055393963790228,63.87538456852275,61.27481526029382,0.05,0.025,0.07347155523552307,0.3,26.083528619215794,True
10000.0,5.0,250.0,176.7767030627131,5.260613013131659,4.903836454852593,0.3,0.9721111047611788,0.9055393963790228,63.816397762458124,61.205385495133555,0.05,0.024999999999999994,0.07347155523552307,0.3,30.527773499690394,True
10000.0,10.0,500.0,353.5534321654701,5.271148271834634,4.896723528902771,0.3,0.9721111047611788,0.9055393963790228,63.8715891142087,61.23829489577856,0.04999999999999999,0.025,0.07347155523552307,0.3,36.53099649876266,True
