Model,MDO34
Firmware Version,1.19.13

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,2e-06
Horizontal Delay,0
Sample Interval,2e-09
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.2
Vertical Position,0
,
,
,
Label,
TIME,CH1
-1.0000e-05,0.36
-9.9980e-06,0.36
-9.9960e-06,0.368
-9.9940e-06,0.376
-9.9920e-06,0.384
-9.9900e-06,0.384
-9.9880e-06,0.392
-9.9860e-06,0.4
-9.9840e-06,0.4
-9.9820e-06,0.408
-9.9800e-06,0.416
-9.9780e-06,0.432
-9.9760e-06,0.432
-9.9740e-06,0.44
-9.9720e-06,0.448
-9.9700e-06,0.456
-9.9680e-06,0.456
-9.9660e-06,0.472
-9.9640e-06,0.464
-9.9620e-06,0.472
-9.9600e-06,0.48
-9.9580e-06,0.488
-9.9560e-06,0.488
-9.9540e-06,0.496
-9.9520e-06,0.504
-9.9500e-06,0.504
-9.9480e-06,0.512
-9.9460e-06,0.52
-9.9440e-06,0.528
-9.9420e-06,0.528
-9.9400e-06,0.528
-9.9380e-06,0.536
-9.9360e-06,0.536
-9.9340e-06,0.544
-9.9320e-06,0.552
-9.9300e-06,0.552
-9.9280e-06,0.56
-9.9260e-06,0.56
-9.9240e-06,0.568
-9.9220e-06,0.568
-9.9200e-06,0.576
-9.9180e-06,0.576
-9.9160e-06,0.584
-9.9140e-06,0.584
-9.9120e-06,0.592
-9.9100e-06,0.592
-9.9080e-06,0.592
-9.9060e-06,0.6
-9.9040e-06,0.6
-9.9020e-06,0.6
-9.9000e-06,0.6
-9.8980e-06,0.608
-9.8960e-06,0.6
-9.8940e-06,0.6
-9.8920e-06,0.6
-9.8900e-06,0.608
-9.8880e-06,0.608
-9.8860e-06,0.608
-9.8840e-06,0.608
-9.8820e-06,0.608
-9.8800e-06,0.608
-9.8780e-06,0.608
-9.8760e-06,0.6
-9.8740e-06,0.616
-9.8720e-06,0.608
-9.8700e-06,0.608
-9.8680e-06,0.608
-9.8660e-06,0.608
-9.8640e-06,0.6
-9.8620e-06,0.6
-9.8600e-06,0.608
-9.8580e-06,0.592
-9.8560e-06,0.6
-9.8540e-06,0.6
-9.8520e-06,0.6
-9.8500e-06,0.584
-9.8480e-06,0.584
-9.8460e-06,0.584
-9.8440e-06,0.584
-9.8420e-06,0.584
-9.8400e-06,0.592
-9.8380e-06,0.576
-9.8360e-06,0.568
-9.8340e-06,0.568
-9.8320e-06,0.568
-9.8300e-06,0.568
-9.8280e-06,0.56
-9.8260e-06,0.552
-9.8240e-06,0.552
-9.8220e-06,0.544
-9.8200e-06,0.544
-9.8180e-06,0.528
-9.8160e-06,0.528
-9.8140e-06,0.52
-9.8120e-06,0.52
-9.8100e-06,0.512
-9.8080e-06,0.512
-9.8060e-06,0.512
-9.8040e-06,0.504
-9.8020e-06,0.488
-9.8000e-06,0.48
-9.7980e-06,0.472
-9.7960e-06,0.472
-9.7940e-06,0.464
-9.7920e-06,0.456
-9.7900e-06,0.456
-9.7880e-06,0.44
-9.7860e-06,0.432
-9.7840e-06,0.424
-9.7820e-06,0.416
-9.7800e-06,0.408
-9.7780e-06,0.4
-9.7760e-06,0.4
-9.7740e-06,0.392
-9.7720e-06,0.376
-9.7700e-06,0.376
-9.7680e-06,0.36
-9.7660e-06,0.36
-9.7640e-06,0.344
-9.7620e-06,0.344
-9.7600e-06,0.336
-9.7580e-06,0.32
-9.7560e-06,0.312
-9.7540e-06,0.304
-9.7520e-06,0.296
-9.7500e-06,0.288
-9.7480e-06,0.28
-9.7460e-06,0.28
-9.7440e-06,0.264
-9.7420e-06,0.272
-9.7400e-06,0.256
-9.7380e-06,0.248
